,30HAJ17CT003,30HAJ17CT001,30HAJ17CT002,30HAJ17CT012,30HAJ17CT010,30HAJ17CT011,30HAJ17CT006,30HAJ17CT004,30HAJ17CT005,30HAJ17CT015,30HAJ17CT013,30HAJ17CT014,30HAJ17CT007,30HAJ17CT008,30HAJ17CT009,30HAJ17CT016,30HAJ17CT017,30HAJ17CT018
Tue Apr 12 19:48:17  2016,22.3476,681.6714,691.0931,739.201,693.9944,712.171,734.0756,672.1208,656.6686,726.4694,678.051,677.472,613.4711,671.2089,654.8936,631.037,675.7914,668.7063
Tue Apr 12 20:02:17  2016,22.3476,683.5545,692.7338,737.2962,679.9329,704.0197,738.3677,677.6177,663.0627,724.4241,674.5784,678.6299,620.0744,676.8497,663.1183,631.8997,679.6545,675.1682
Tue Apr 12 20:16:38  2016,22.8444,677.228,689.9772,730.0792,676.5593,696.8536,728.123,671.5869,659.7427,715.7695,666.439,671.0634,614.9504,673.5668,658.5439,623.9513,671.5527,665.1946
Tue Apr 12 20:31:37  2016,22.8444,674.7684,686.8318,713.9756,674.6341,691.4382,703.9647,673.6113,655.0266,700.1951,658.1658,658.0215,608.3502,659.2654,646.0027,614.7618,655.9133,649.4261
Tue Apr 12 20:47:17  2016,23.3412,703.8192,714.593,705.0939,714.9958,744.0966,701.3475,690.8922,661.8077,690.2776,670.8743,684.7684,620.1627,649.6486,638.2733,633.2491,647.6972,641.3611
Tue Apr 12 21:01:18  2016,23.3412,714.1558,707.0198,715.8257,719.9096,745.2253,729.4838,702.3651,673.0773,704.6575,665.7723,684.1443,628.3511,670.4304,646.4791,631.5237,656.1574,641.8926
Tue Apr 12 21:16:17  2016,25.2947,721.2014,717.5538,707.5227,702.8676,728.2347,733.9178,708.9119,680.3569,706.3586,663.8948,674.1556,633.2831,679.878,653.1521,627.1674,652.8409,639.4459
Tue Apr 12 21:31:18  2016,23.8382,719.8879,713.9091,703.1584,708.3961,731.4519,735.6747,709.5391,679.633,700.1057,668.6619,677.3386,634.0021,682.7744,654.1614,630.4732,652.6967,642.1806
Tue Apr 12 21:46:58  2016,23.8382,730.26,721.3474,713.6393,696.9096,705.3401,753.7244,715.2208,685.282,712.4736,660.5745,663.1729,639.181,693.2137,659.3542,624.8685,653.9943,639.7337
Tue Apr 12 22:00:58  2016,23.3412,732.6006,724.4137,705.1946,691.5386,696.1835,754.6069,717.0715,687.7462,698.0716,656.3904,656.6788,637.9856,691.2828,657.4785,620.1287,648.2291,632.2537
